layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
C,디온 Dion,f380f620615fffd54451032686932f9d,10146,280,125.1,171.9,21500.4,1.23,2.1191,44.68,virtual_only,,313,184,207,219.0
C,앵츄,376bbbc0fb98e5774e5d8a61f5de01a0,3751,328,124.9,141.8,17716.3,3.33,4.7231,38.08,virtual_only,,268,185,244,225.2
C,아카이로 류,f67b66f4051fd2744ba9366571565771,30472,800,124.7,125.3,15630.6,0.41,0.5129,15.59,virtual_only,,133,186,279,212.6
C,조이냥,a9983d950a0ba4471b3d60bb9c5e0dd7,19707,420,120.1,285.3,34269.1,0.61,1.7389,28.6,virtual_only,,211,188,149,177.0
C,유우양,35382c3e4fcb9ffccb4cb97d3bddabcf,35614,696,119.2,272.7,32513.1,0.33,0.9129,17.13,virtual_only,,147,189,155,167.0
C,반 희,0c061f7f79909af482d9e66879d2225c,9680,758,118.7,166.3,19744.2,1.23,2.0397,15.66,virtual_only,,140,190,223,193.2
C,김아테 l Ate,f42e97f59c3177b8686dccfbf90792dd,7750,334,117.5,206.0,24199.5,1.52,3.1225,35.18,virtual_only,,264,191,192,206.0
C,빵룽,a3c5623862d0d1dda383f5efbc39c6f4,20588,1020,117.4,304.9,35805.3,0.57,1.7391,11.51,virtual_only,,107,192,139,153.8
C,쵸쵸우,6ec2829475b485474e7bd1df449cb160,10356,348,115.6,147.1,16997.5,1.12,1.6413,33.22,virtual_only,,254,193,256,230.4
C,로션욤,e234729686832d379d7da804517ac9d9,11678,388,115.3,298.9,34468.9,0.99,2.9516,29.72,virtual_only,,226,194,146,181.2
C,루시 Luci,0b0dd269c4663fc36ee1eef8a8b1bea4,5818,433,114.6,303.9,34812.8,1.97,5.9836,26.47,virtual_only,,204,195,142,175.6
C,에렌디라 erendira,d00a4bc1598e3b18ebfdff13a321ff6f,31657,251,112.4,144.8,16280.6,0.36,0.5143,44.78,virtual_only,,342,196,268,254.0
C,루루카 RURUKA,99b6020d619b9aac132920604cee8ca1,24410,633,111.6,223.2,24916.8,0.46,1.0208,17.63,virtual_only,,155,197,190,185.8
C,연하늘 HaneuI,b8b36da0d46acde123539f53daa23f7d,5125,300,111.4,181.8,20249.5,2.17,3.9511,37.13,virtual_only,,301,198,217,226.2
C,반님l,3a2d2f4e9132d822423f6aa879e598c5,40458,550,111.4,165.5,18431.7,0.28,0.4556,20.25,virtual_only,,168,199,240,209.2
C,김 제 오,10a7cea4de6c87033741fb821d6a3b18,6887,233,110.4,141.0,15567.4,1.6,2.2604,47.38,virtual_only,,358,200,281,264.0
C,양망두,b3e262a2795f17734c149afc738ad250,13937,298,110.3,320.5,35352.4,0.79,2.5366,37.01,virtual_only,,304,201,140,197.2
C,김렝지,c59080612c2f5778a02b7bc680e160e9,6649,499,109.8,202.8,22263.3,1.65,3.3484,22.0,virtual_only,,179,202,204,198.2
C,고뇽찌,78d950b1c85bffff10367c4735aa6cfc,4571,876,109.4,338.5,37026.9,2.39,8.1004,12.49,virtual_only,,120,203,133,158.4
