layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
C,앵츄,376bbbc0fb98e5774e5d8a61f5de01a0,3751,225.2,268,185,244,141.8,328,124.9,17716.3,3.33,4.7231,38.08
C,아카이로 류,f67b66f4051fd2744ba9366571565771,30472,212.6,133,186,279,125.3,800,124.7,15630.6,0.41,0.5129,15.59
C,조이냥,a9983d950a0ba4471b3d60bb9c5e0dd7,19707,177.0,211,188,149,285.3,420,120.1,34269.1,0.61,1.7389,28.6
C,유우양,35382c3e4fcb9ffccb4cb97d3bddabcf,35614,167.0,147,189,155,272.7,696,119.2,32513.1,0.33,0.9129,17.13
C,반 희,0c061f7f79909af482d9e66879d2225c,9680,193.2,140,190,223,166.3,758,118.7,19744.2,1.23,2.0397,15.66
C,김아테 l Ate,f42e97f59c3177b8686dccfbf90792dd,7750,206.0,264,191,192,206.0,334,117.5,24199.5,1.52,3.1225,35.18
C,빵룽,a3c5623862d0d1dda383f5efbc39c6f4,20588,153.8,107,192,139,304.9,1020,117.4,35805.3,0.57,1.7391,11.51
C,쵸쵸우,6ec2829475b485474e7bd1df449cb160,10356,230.4,254,193,256,147.1,348,115.6,16997.5,1.12,1.6413,33.22
C,로션욤,e234729686832d379d7da804517ac9d9,11678,181.2,226,194,146,298.9,388,115.3,34468.9,0.99,2.9516,29.72
C,루시 Luci,0b0dd269c4663fc36ee1eef8a8b1bea4,5818,175.6,204,195,142,303.9,433,114.6,34812.8,1.97,5.9836,26.47
C,에렌디라 erendira,d00a4bc1598e3b18ebfdff13a321ff6f,31657,254.0,342,196,268,144.8,251,112.4,16280.6,0.36,0.5143,44.78
C,루루카 RURUKA,99b6020d619b9aac132920604cee8ca1,24410,185.8,155,197,190,223.2,633,111.6,24916.8,0.46,1.0208,17.63
C,연하늘 HaneuI,b8b36da0d46acde123539f53daa23f7d,5125,226.2,301,198,217,181.8,300,111.4,20249.5,2.17,3.9511,37.13
C,반님l,3a2d2f4e9132d822423f6aa879e598c5,40458,209.2,168,199,240,165.5,550,111.4,18431.7,0.28,0.4556,20.25
C,김 제 오,10a7cea4de6c87033741fb821d6a3b18,6887,264.0,358,200,281,141.0,233,110.4,15567.4,1.6,2.2604,47.38
C,양망두,b3e262a2795f17734c149afc738ad250,13937,197.2,304,201,140,320.5,298,110.3,35352.4,0.79,2.5366,37.01
C,김렝지,c59080612c2f5778a02b7bc680e160e9,6649,198.2,179,202,204,202.8,499,109.8,22263.3,1.65,3.3484,22.0
C,고뇽찌,78d950b1c85bffff10367c4735aa6cfc,4571,158.4,120,203,133,338.5,876,109.4,37026.9,2.39,8.1004,12.49
C,아 즈 AZ,e2640468861f80d658873c25dc69e32b,8716,196.2,283,204,145,317.9,316,108.6,34528.7,1.25,3.9615,34.37
C,아마시로 메이,6bcc1c4b89128eac7bc7a7d698ef7aa2,6345,294.2,429,205,316,119.8,170,108.5,13003.9,1.71,2.0495,63.82
C,세이로쿠 키라,f63f66f701a9af347c668f3056cdaa9a,3982,220.2,237,206,226,182.2,370,108.1,19687.7,2.71,4.9442,29.22
C,두뭉,6f1ae352c78027acf1bd92589fc44128,17481,203.0,185,207,208,198.0,485,107.6,21303.9,0.62,1.2187,22.19
C,제미니님,8aa432a06595c4c7547574790488cf8c,26496,219.4,221,208,230,179.2,402,107.3,19220.7,0.4,0.7254,26.69
C,방장 라라,cf0962f3589219c7dca8addf13008fcc,3627,262.2,341,209,276,146.3,252,107.1,15675.6,2.95,4.3219,42.5
C,마무 Mamuu,902744ac298720925b661711d76f7133,4205,225.0,305,211,199,216.0,295,106.5,23001.7,2.53,5.4701,36.1
C,므므네 mumune,23a256033aae1c6324cec9a69458791d,9277,247.0,239,212,286,143.4,369,106.3,15243.4,1.15,1.6431,28.81
C,난바다,b1ac916d727d32cb7f472b50f6f97654,10359,201.8,251,213,166,277.7,354,106.2,29503.2,1.03,2.8481,30.0
C,한 유 월,0feaf00a7322954b2da161d401e09dc8,7186,262.6,243,214,321,121.1,361,104.3,12634.1,1.45,1.7582,28.89
C,코코론,06d4c49768cb633feeef590fce65bfab,2649,212.6,179,215,227,189.5,499,102.7,19464.8,3.88,7.348,20.58
C,토코Tokomon,619813d839c6b7ae427298bd299db9fc,8695,191.8,135,216,196,232.1,789,102.7,23834.1,1.18,2.7411,13.02
C,쫀득찹쌀도넛,cd0b9939c10ac951dbb5fd4cd00567a9,1508,196.0,250,217,148,337.3,356,102.1,34443.4,6.77,22.8405,28.68
C,아로AURO,4a3cab967a74a5020258195fc9004145,24581,239.0,301,218,229,190.5,300,101.8,19396.5,0.41,0.7891,33.93
C,판 토,f0088e81766cba82348838db1e14b61d,4726,237.6,374,220,187,251.5,199,101.5,25515.4,2.15,5.3989,51.01
C,이 늘,1482d68b3478d2962e9d000ed6a33167,5513,182.4,262,221,104,513.9,336,100.5,51662.1,1.82,9.371,29.91
C,도화령,d7b5e8a2bd0bb3202201fa707a726f80,10292,260.0,196,222,330,123.9,456,100.0,12386.1,0.97,1.2035,21.93
