layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
C,플로라 코튼,508.2,475,535,498,205.9,147,37.5,7729.7
C,뽀야치,468.2,729,537,269,433.5,92,37.4,16226.8
C,먀 루,449.2,312,538,429,244.3,284,37.4,9139.3
C,아리엘 본즈,555.4,369,539,665,154.6,221,37.4,5779.0
C,토다기,609.2,520,540,723,140.4,134,37.3,5241.9
C,밍쑨,619.8,949,543,532,193.9,69,37.1,7197.1
C,우사미 미유,514.0,482,544,500,208.1,145,37.0,7699.0
C,토우 루체르나,732.8,940,546,816,125.5,70,36.9,4626.7
C,지요시,552.4,808,547,430,247.5,82,36.8,9118.6
C,유토링,415.2,260,548,360,303.0,337,36.8,11161.2
C,뉴정,558.4,852,549,421,260.0,78,36.8,9561.4
C,전홀리,576.4,666,550,558,186.2,99,36.7,6841.6
C,온유 OnU,541.4,503,551,551,187.9,139,36.7,6895.9
C,와타나베 치히로,452.4,464,552,347,312.2,154,36.7,11443.7
C,아마네 메이,653.8,821,553,671,156.4,81,36.5,5710.9
C,후쿠미,552.0,574,554,539,192.5,118,36.4,7014.6
C,모다해,569.6,406,555,666,157.6,179,36.4,5741.7
C,아루네 arune,727.4,635,556,945,107.9,106,36.4,3927.7
C,김더미,656.0,986,558,589,180.1,66,36.2,6513.8
C,임 설,493.8,635,560,357,310.1,106,36.1,11202.3
C,아탕 Ahtang,678.8,796,561,738,143.7,83,36.0,5176.1
C,고다요,537.4,489,563,536,198.9,144,35.9,7147.4
C,하야시 이로,625.0,741,564,628,169.7,90,35.8,6078.8
C,어짤,518.2,515,565,473,227.9,135,35.8,8151.0
C,꼴리면자러감,499.6,598,567,383,301.5,113,35.5,10716.1
C,강사라,581.2,796,569,486,225.1,83,35.5,7995.4
C,HERA 헤라,494.4,196,570,568,189.7,456,35.5,6726.5
C,나빈이양,604.8,482,572,699,154.4,145,35.3,5447.8
C,한 이오,568.4,584,573,556,194.4,115,35.3,6857.4
C,라빈 라비린스,620.2,603,575,674,160.9,112,35.2,5660.2
C,딴비딴비,646.4,178,576,951,110.6,511,35.2,3889.7
C,아리랑털기,491.0,149,577,576,189.3,669,35.1,6651.2
C,미먀모 MIMYAMO,474.2,563,578,326,355.4,121,35.1,12457.4
C,상여자루다,419.8,209,579,366,315.8,422,35.0,11052.5
C,디아 나,625.0,881,580,542,200.0,75,34.9,6986.9
C,오스카 Oscar,648.4,1032,581,524,210.1,63,34.9,7322.2
C,사이네코 코나타 Wishing,834.0,1066,583,969,108.9,61,34.8,3791.1
C,나을 Naeul,669.0,741,584,718,152.6,90,34.7,5292.6
C,히라뀽,463.2,390,585,378,312.3,187,34.7,10829.5
C,셀레스,660.0,756,587,685,160.1,88,34.6,5532.1
C,뮤리벨렌,497.2,438,588,436,261.5,166,34.6,9035.3
C,베르 Beru,710.2,889,590,741,149.8,74,34.4,5154.9
C,코 코 님,557.6,620,592,492,228.1,110,34.4,7838.5
C,소히 SOHEE,590.2,377,593,694,159.7,198,34.3,5476.1
C,별 연,488.4,406,594,424,274.6,179,34.0,9344.2
C,초깨비,601.0,627,595,594,190.7,109,34.0,6488.3
C,린시,661.0,603,597,754,149.2,112,33.8,5035.9
C,슬히찡,496.4,672,598,307,409.0,98,33.7,13782.3
C,테 테,596.2,729,599,527,216.0,92,33.7,7269.6
C,탐랑,844.8,1118,600,953,115.4,58,33.6,3881.4
C,쏭이,524.8,570,601,426,277.0,119,33.5,9293.1
C,야시로 YASIRO,598.6,913,603,437,269.0,72,33.5,9013.8
C,연 구 대 상,644.4,808,604,603,191.1,82,33.5,6396.0
