channelId,follower
2044b293380de23e5df1bb2b4b9407b1,861
d218cfd63f788565fccee5483e74bb1f,687
72540e0952096b201da89e667b70398b,3225
cb23c90f33e6fb59276a787be3e372b8,3585
8cfb2bdebc91dabb9d54ac44714a9b48,744
fb5a19da147bddf120d1c04bfb605ec2,1022
9525240500f8efc14d615cd7dc0e537c,2149
a80a95f91626493613a7b1093002b26d,5175
dc5a830020254936843b8afeed98949f,4862
34dd8435552bd6739e7158f7762705b8,2945
79fbb3f5195aad2d11f76c6b5535dc02,3242
b164ebbfdc276d3d77505d6912b5843b,1542
92bfebace004726ea337b3b911f579fe,3061
ebba663909ecfe3ddd8221a77551ecb7,931
35950f5be185ea41d70dd3096fef17f2,747
288f7aafe3877bb18a4aacced0467667,6456
c57ab4efaf2548f27214834daeb5c901,5199
58fbc220638009db28385db1112d22df,6203
54bdb327ed6039db869d15b0e5eec394,3651
8714050e915c2e7cd5d551756fd3dbb5,1770
0bdd2da7d5dd4c68b00fb6471ab36809,2055
50f557a43a5c19517243a2271882c249,2216
da7d07e4132e4608de980f50f347ad5c,2827
78f1fccfc5bcf0c27b525f57675ea5d2,1970
6e976999fb675988d907b59cec1fe9fe,689
6ff435514692971c23ce8923799097c9,3990
30ab42ca28a98141173ab5f65636458c,1262
a36acea87a1cf3d1132140786b1813ed,2416
425366ceabbd175f051db2e87c3db139,2027
f199ce331a0e2869f1257ae70ea9241f,780
2b643e1b0cb736763965e0830179a297,2211
c29e893346300b5e778320c11820ab42,2275
270b1c629013679b7341b0e764c0fc0a,2733
4695513000a3ec512bd0fed52fdc6e93,1864
cde9b4c389b36d38c8b2693a95de7385,1103
3fefbab86746791039760a3ce516f1da,4676
19e50acc081bbbe156c836dde6becb65,3899
f4c2ff0be58895c211652674f2f19ffa,2211
4a1eb484a0e13d256944e9fe5d8b4f67,20323
e1d7c110f8d2dd8e8752c97c9d9dc63b,4980
319363f7de8e9533e9424c222561604c,647
f53081b9a3ceaea1742f413a83258b38,1967
b60167c1c2fe92479705996f385e7e2a,1085
82d0d7494afb41193fc469e57e0df5df,1435
348542b853d10d1c6a4a5163a9977b52,995
f88e567b0914272ce7afcb427cff322b,1439
de8e83d0c236c3f4d47db5c6714428d6,1263
2b8f1ada8541a956154c6e0b313916c6,1569
075118b6fd7f16a5703e85e86102fd68,2430
016e9a8b19018ef5c83246a0343fe32e,2155
593ade4b57e4999a9051496db7d0f9ff,1856
14a414f8fee245c88ebc02de2ec2d2bf,2987
31a0a1894d38f12111186e43c5f5fde8,8067
