channelId,name,tags,sumLiveViews,viewership,maxLiveViews,avgLiveViews,airTime
c9e23f9b2d858601ac5f20f46634cce2,"조하구1",virtual,108479,10847,463,181.40301003344482,59.8
b3f0dd09666949762e0da59210c3f403,"하지유",virtual,76646,7664,441,262.486301369863,29.2
3eb9808e8ec29e79c6d54060c964b1a5,"킹설아",virtual,83404,8340,450,226.6413043478261,36.8
d6cec68f616f5926a0a5f6cea2bbe731,"애 타",virtual,65233,6523,439,334.5282051282051,19.5
d916dc846dcbe66a3482e238625b9022,"백희 Baekhee",virtual,87830,8783,406,226.3659793814433,38.8
5f44570b82fb82d4814ef9502cf6401a,"삐부",virtual;mblee,50741,5074,1158,260.2102564102564,19.5
17a4bfff01d96ffad065f641ce90bdde,"로마러",virtual,96871,9687,507,158.80491803278687,61
819204d0fc2db01ae640c2e7d599ee9b,"잭",virtual;leopel,66778,6677,548,219.66447368421052,30.4
5d68142291810fa1a2a0dfa90a688362,"유람 Yuram",virtual,61558,6155,382,271.1806167400881,22.7
9ff4bdc7aa4f3384e84db402bc128b0c,"마젯",virtual,60765,6076,532,220.16304347826087,27.6
75b643e50481d4ec373f77b58a41746f,"ㅇ연이ㅇ",virtual,53349,5334,451,298.0391061452514,17.9
6d16804cf98da47ba82bd13c0c029723,"샤메이",virtual,65802,6580,686,172.2565445026178,38.2
8272a88361c84d51adebeeba3eb0f901,"유우스즈 무무",virtual,69581,6958,409,181.20052083333334,38.4
78d950b1c85bffff10367c4735aa6cfc,"고뇽찌",virtual,65975,6597,853,143.7363834422658,45.9
f5feedab25060a675ed62f3348e625cf,"낡은창고 oldstore",virtual,90077,9007,362,151.13590604026845,59.6
a72c9f9c3d835078b97a520dded8e6d2,"최케빈님",spearforest;virtual,48927,4892,485,244.635,20
58c857c619dbc62110f025c382265abe,"콩 주",virtual,71939,7193,464,143.30478087649402,50.2
0e061c23f8d4e7b5a85ba52b7e18bd5b,"옥쓔",virtual,59784,5978,1041,142.68257756563247,41.9
faf9cdd37e2ce5e2af6944dbf42739a9,"R로제타",virtual;mktalk15;leopel,48097,4809,637,194.7246963562753,24.7
aef0c98592271de9ec4906eca2987e05,"HeavyRainy",virtual,63674,6367,361,166.25065274151436,38.3
cb0ceb32cbf6bced3bac7892cbca37e1,"쇼코코 도리",virtual,64116,6411,319,163.97953964194375,39.1
2417b47685106ec21b79c8803b7f1ecf,"새싹 Saessack",virtual;mktalk15,40487,4048,643,211.9738219895288,19.1
a9983d950a0ba4471b3d60bb9c5e0dd7,"조이냥",virtual;mktalk15,68753,6875,420,137.2315369261477,50.1
93f06c016e073c01b6bdb4098a99b1a7,"기션",virtual,45888,4588,446,210.4954128440367,21.8
44424fa93fae1f5b03a0479cac94f39c,"요루야",virtual,100686,10068,293,122.34021871202916,82.3
3a5c68e21e1de59efc438313f908dd6f,"임재천",virtual;tbaroselena;leopel,52664,5266,474,150.46857142857144,35
35382c3e4fcb9ffccb4cb97d3bddabcf,"유우양",virtual,67668,6766,303,143.061310782241,47.3
11f9a14c3439b7b1ceadd819d61624da,"하렌 루베오스",virtual;leopel,53852,5385,357,157.46198830409358,34.2
77599c8972b39e158c95e6a526272480,"람썬",virtual,64111,6411,273,157.13480392156862,40.8
98538102121a4704260eb77e088ddaf0,"서랑그림",virtual,46510,4651,293,222.5358851674641,20.9
7dc9561a4e60fb5221bdea64346672f1,"갓단미",virtual,65746,6574,324,140.48290598290598,46.8
6a09c296e5e12ad5ed67e053f8cc98d5,"순망",virtual;mktalk15;leopel,59033,5903,276,164.89664804469274,35.8
d547c7021e8eb042acf57a315bad7d35,"오르 Or",virtual,46853,4685,326,187.412,25
4f650f02bc4ab38a998d74e3abb1b68b,"유레이 UREI",virtual,64778,6477,250,154.9712918660287,41.8
ae21a2b6fd79853e78973b8825b1e3cf,"강단해",virtual;leopel,62376,6237,328,139.23214285714286,44.8
89bd1d5157cfb9eb41ceb7bf4c418db9,"융이 Yoong E",virtual,62568,6256,458,120.55491329479769,51.9
a3c5623862d0d1dda383f5efbc39c6f4,"빵룽",virtual,56824,5682,645,116.92181069958848,48.6
35bb4c281ee0dc968582fb6d1d5a11b6,"리에 RIE",virtual,21104,2110,862,639.5151515151515,3.3
98d1282009b3d0014e8457450a021f2d,"미르다요",virtual,43448,4344,399,149.30584192439864,29.1
afff6e3cc8c1487bc4135bc896811dcc,"냐 미 Nyami",virtual,56444,5644,218,152.14016172506737,37.1
57482ec9b07718076a1692bc210d5fa0,"슈향",virtual;mktalk15,41327,4132,274,175.8595744680851,23.5
d409fe40356ee1ebfacbe2dd460ad573,"한량1234",virtual,67886,6788,230,126.88971962616823,53.5
fb3220c02c64d799b31e97f432afebc0,"세노 SEN5",virtual,37905,3790,314,177.12616822429908,21.4
81bd5b50f0c0728128442daf7db626fc,"토종 아오리",virtual,35132,3513,329,177.43434343434345,19.8
390efc6c5186f85427b2d61297a9d4ed,"미치르",virtual,33571,3357,414,173.0463917525773,19.4
e2640468861f80d658873c25dc69e32b,"아 즈 AZ",virtual,58191,5819,300,123.81063829787234,47
088973112d8acc831ec20274f7ffbb99,"미하루 Miharu",virtual,26928,2692,515,244.8,11
cd0b9939c10ac951dbb5fd4cd00567a9,"쫀득찹쌀도넛",virtual,68045,6804,356,95.5688202247191,71.2
1849e43ce6247a61aef57e2e39e2f6ce,"하나츠 nacheu",virtual,28439,2843,733,168.27810650887574,16.9
b3e262a2795f17734c149afc738ad250,"양망두",virtual;leopel,55385,5538,298,123.35189309576838,44.9
24c568cc7d041b079a3ed7c735c2eab0,"뭉냥이",virtual,33384,3338,586,143.27896995708156,23.3
51420f4078ef701b03421904ad712401,"온앤온",virtual,30595,3059,384,211,14.5
42344dd53d4c5dc33e962c8913f6adc3,"청목 Chungmok",virtual,43054,4305,376,130.86322188449847,32.9
9116ce342b24d085f3afe73ccc465465,"김니디",virtual;mktalk15,49530,4953,251,135.6986301369863,36.5
010379f20da3ec9249bfe0bbdcb05762,"코무키",virtual,40746,4074,267,143.97879858657245,28.3
0c061f7f79909af482d9e66879d2225c,"반 희",virtual,30288,3028,758,142.8679245283019,21.2
1482d68b3478d2962e9d000ed6a33167,"이 늘",virtual,86435,8643,194,100.15643105446118,86.3
e234729686832d379d7da804517ac9d9,"로션욤",virtual,50914,5091,273,122.38942307692308,41.6
124ca807978c091907e26c2a5c3b307a,"공설",virtual;mktalk15,60253,6025,212,119.54960317460318,50.4
0d7600fc87a6a8621d5149d12da58ef8,"희 지",virtual,43869,4386,251,136.66355140186917,32.1
9bcfc5ce252bd85444a45ae8a80ae5e8,"몽새",virtual;mktalk15,38886,3888,340,128.33663366336634,30.3
0b0dd269c4663fc36ee1eef8a8b1bea4,"루시 Luci",virtual,44759,4475,256,121.29810298102981,36.9
e500ce8da6637e4b7ee255709ddb3ffe,"요아케노 나나시",virtual,31314,3131,340,142.986301369863,21.9
eef3f5d5d6b7fd4c7ee36b13c330fec0,"닝냉뇽",virtual,40064,4006,320,109.76438356164384,36.5
c59080612c2f5778a02b7bc680e160e9,"김렝지",virtual,43961,4396,249,114.78067885117494,38.3
e9591b517df39ffae2b9912cffa10e62,"해옥 HAEOK",virtual,66345,6634,198,89.41374663072776,74.2
733ac918d624f6034f8786efc318e433,"ㅎㄹㄹㅎㄹㄹ",virtual,39489,3948,191,132.0702341137124,29.9
88eb7dda524ca626ad3e08359b182900,"텐플라스텐 텐텐",virtual,51735,5173,199,94.75274725274726,54.6
55cad23e436b9b31f5e0fffe3d588194,"자두뇨끼",virtual,54198,5419,193,94.75174825174825,57.2
23a256033aae1c6324cec9a69458791d,"므므네 mumune",virtual,28149,2814,369,128.53424657534248,21.9
66f34bf45e8bcba4e1b486466e837733,"도로시 dorothy",virtual,40678,4067,236,105.65714285714286,38.5
962abb83cc2513309966365813fdd288,"자연2",virtual,36783,3678,256,106.61739130434782,34.5
0a07375b21a52bd69ff087fa5cc60f0d,"아무탈",virtual,39469,3946,307,95.33574879227054,41.4
943e6cdde63d2e473fe85f238633effc,"포냐",virtual,30488,3048,338,121.952,25
c2d89cbe1704ab9003f788cc0a0a208a,"불 법 스 님",virtual,26824,2682,384,135.4747474747475,19.8
5e4ef081ec96bdca5a4989554864bb05,"만디 2",virtual;mktalk15;leopel,25439,2543,296,146.20114942528735,17.4
b2854dc0735e55fa86c53bd15242d30f,"마우쥐",virtual;mktalk15;leopel,59692,5969,175,88.82738095238095,67.2
2275b35a6c555959fb4a61e18a818a59,"날먹키코",virtual,27674,2767,249,139.76767676767676,19.8
7b9c6553913c755812ef2cd9fbe1dc5c,"하네ㅣHane",virtual,32952,3295,240,118.96028880866426,27.7
e0b11eab54ad5ecf2306fdd2d7e4f5c2,"니르 Niru",virtual;leopel,56236,5623,162,92.19016393442622,61
1bba9dea7f936bdcfe06962bcf0d686a,"연 홍차",virtual,40366,4036,197,96.33890214797135,41.9
0f61ae00c2aef2b789dc009e51cbcc5a,"온 하루",virtual,25745,2574,268,142.23756906077347,18.1
376bbbc0fb98e5774e5d8a61f5de01a0,"앵츄",virtual,27309,2730,253,125.84792626728111,21.7
b5da9cbcab300065236b4309ecaf19b7,"스나랑",virtual,34072,3407,451,80.93111638954869,42.1
90695d782f44f6b7849cba7c0749e093,"마지나이 쿠로카",virtual;leopel,29990,2999,195,126.00840336134453,23.8
b1ac916d727d32cb7f472b50f6f97654,"난바다",virtual,52821,5282,150,94.66129032258064,55.8
f42e97f59c3177b8686dccfbf90792dd,"김아테 l Ate",virtual,34357,3435,187,105.06727828746178,32.7
56af48b6a7e165c24873fa29671a8d45,"다 비",virtual;leopel,48355,4835,155,93.89320388349515,51.5
6f1ae352c78027acf1bd92589fc44128,"두뭉",virtual;mktalk15;leopel,29187,2918,284,102.41052631578947,28.5
c077df8642ba944f714b5ec06cf195e4,"아오토 라떼",virtual,31901,3190,287,93.27777777777777,34.2
f380f620615fffd54451032686932f9d,"디온 Dion",virtual,30196,3019,185,118.41568627450981,25.5
8aa432a06595c4c7547574790488cf8c,"제미니님",virtual,36921,3692,161,95.40310077519379,38.7
cffac6a96b6a2f625db9e6085c40d1c1,"이 선",virtual;mktalk15;leopel,26360,2636,251,115.10917030567686,22.9
539ddad723de57dcbff8b11f27877a90,"도롱챠",virtual,22458,2245,227,151.74324324324326,14.8
63368ec9081dc85e61d0e4310b7e1602,"이 리 온",virtual;mktalk15;leopel,22406,2240,319,132.57988165680473,16.9
416d86cee659cca1320eac67f0e6fc22,"바뀐",virtual;mktalk15,33778,3377,245,86.61025641025641,39
659dcc02fa42de17387db4c8d722f55c,"해득이",virtual,51480,5148,153,83.57142857142857,61.6
206afc6829e734e662ed0bf24dcbac0e,"이치카 히비",virtual,29098,2909,315,88.98470948012232,32.7
0136d146dc33ee6abc656509ba0c4a65,"쿠미네",virtual,18690,1869,350,162.52173913043478,11.5
06d4c49768cb633feeef590fce65bfab,"코코론",virtual,31047,3104,182,102.80463576158941,30.2
2fe88ab2b731edd48b7b11feaedbf294,"기령",virtual,43310,4331,176,80.65176908752328,53.7
52dd0f8efdfaed33c881b3da9c74788a,"해은해은",virtual,33569,3356,322,75.94796380090497,44.2
6ec2829475b485474e7bd1df449cb160,"쵸쵸우",virtual,22871,2287,225,136.13690476190476,16.8
28087efd3897d10dc58de6c6334f8110,"솔 아",virtual,60313,6031,181,69.48502304147465,86.8
4a3cab967a74a5020258195fc9004145,"아로AURO",virtual;mktalk15;leopel,35209,3520,152,90.74484536082474,38.8
e9dbe302080c01d76fcd4aa6c8a05a64,"미 랑",virtual,44517,4451,153,79.77956989247312,55.8
d00a4bc1598e3b18ebfdff13a321ff6f,"에렌디라 erendira",virtual,26896,2689,169,114.45106382978723,23.5
d61f69f7ff143364ed19314837262ea2,"김꼬멍",virtual,26927,2692,277,89.45847176079734,30.1
619813d839c6b7ae427298bd299db9fc,"토코Tokomon",virtual,34446,3444,315,72.3655462184874,47.6
d7b5e8a2bd0bb3202201fa707a726f80,"도화령",virtual,22246,2224,390,101.57990867579909,21.9
d58ace43901fd369f1b4efa4ed175103,"미 유",virtual;mktalk15,47291,4729,164,75.06507936507937,63
79bc9b927d5c187f9d8fa5a56b194c37,"하 쁘",virtual;mktalk15,35826,3582,196,76.55128205128206,46.8
23a96c7728efd75092e69befd8d3630d,"유히히",mktalk15;virtual,33282,3328,479,65.38703339882122,50.9
46d2e17ad675cb9c22546e11e9010ff2,"리미 VLUP",virtual,37991,3799,145,81.7010752688172,46.5
f63f66f701a9af347c668f3056cdaa9a,"세이로쿠 키라",virtual,26557,2655,158,104.55511811023622,25.4
e0ccb72f0412d306b20847c94a2824d3,"나는 만타",virtual,18455,1845,290,129.05594405594405,14.3
f0088e81766cba82348838db1e14b61d,"판 토",virtual,28870,2887,152,94.34640522875817,30.6
5b1edd3b95c1513cb502ca2cdd391670,"망징이",virtual,22295,2229,253,96.51515151515152,23.1
eef5c2238f1667a915855c644ac4f975,"이 아니",virtual;leopel,33463,3346,139,88.06052631578947,38
b8b36da0d46acde123539f53daa23f7d,"연하늘 HaneuI",virtual,19031,1903,300,101.22872340425532,18.8
6bcc1c4b89128eac7bc7a7d698ef7aa2,"아마시로 메이",virtual,21340,2134,169,118.55555555555556,18
ddba126063cfa770d867aebfe37c318d,"딸기 DDALGI",virtual,31355,3135,159,77.22906403940887,40.6
3ef2872698aee4e944d808f27abca3a9,"냐루비카페",virtual,33256,3325,145,77.51981351981352,42.9
85fa9f08b940d363395f6b3f29b91c4c,"버찌 BUZZI",virtual,31979,3197,127,86.6639566395664,36.9
29573c033c726c2e8aeda78e3a8882a6,"R아렌",virtual,32987,3298,132,79.10551558752998,41.7
902744ac298720925b661711d76f7133,"마무 Mamuu",virtual,23293,2329,188,85.01094890510949,27.4
2e6e7ab6e1aac3f0e2105af44eb59630,"라꼬미",virtual;mktalk15,18784,1878,192,113.84242424242424,16.5
0ac23ae6672e2067492161839e29230e,"사사44",virtual,19934,1993,175,104.36649214659685,19.1
dcfd3c7cf3c05b41306a4cc249ad5c9f,"끠월마녀",virtual;mktalk15;leopel,50915,5091,127,66.4686684073107,76.6
be059789e19ac3e46198e15911a80122,"모이 M0I",virtual,23040,2304,243,78.9041095890411,29.2
79e2928a3fad4b8200f33c3dee6799dc,"솔씨 solssi",virtual,24582,2458,237,75.40490797546012,32.6
d98f5b684efeed1b27ddac078e9634fb,"그리움 Rium",virtual,26158,2615,198,74.52421652421653,35.1
6090bbd23b8dab8ffd1844ba71219104,"지새기",virtual,22754,2275,292,76.61279461279462,29.7
ff182197eed405b1130d22aa3a4fefa0,"아일라 Iyla",virtual,23161,2316,166,88.06463878326996,26.3
10a7cea4de6c87033741fb821d6a3b18,"김 제 오",virtual,17472,1747,196,119.67123287671232,14.6
d676df6bcb09c553c26a2e2b92542fd6,"도도리코 dodorico",virtual;mktalk15,40919,4091,127,69.94700854700855,58.5
051f034c064edd60d48dee2a47bc0790,"미도미도 마요",virtual;leopel,25064,2506,134,91.47445255474453,27.4
