name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
고양이맹이,naverchzzk,de5c3eee67bcb6ba96ab0e7e384536dd,692,2.4,11,8,20,332,10-15,몬스터 헌터 월드: 아이스본,47.5,talk,33.9,음악/노래,10.7,7,false,single_game_or_non_game,,sample_1_peak_10_50
unknown,naverchzzk,1b7b08d40ed9db3b19f620ff5a3d3eaf,699,2.6,11,8,20,114,10-15,talk,18.1,프랫폴,14.8,발로란트,12.2,18,false,single_game_or_non_game,,sample_1_peak_10_50
다빙o,naverchzzk,814f71fab319e4b88eb2d8c0aa0badd5,701,2.5,10,8,20,903,10-15,명조:워더링 웨이브,43.4,승리의 여신: 니케,34.7,talk,9.8,8,true,multi_game,,sample_1_peak_10_50
마신멜로우,naverchzzk,d95118d58cf993ba7d2628a5f646077d,704,1.7,13,11,20,1173,10-15,그림/아트,77.0,트릭컬 리바이브,9.8,오버워치,5.7,7,false,single_game_or_non_game,,sample_1_peak_10_50
도해랑,naverchzzk,75c544666af54a6a92527a3ef3bd9af3,707,2.3,14,8,19,301,10-15,talk,88.9,종합 게임,8.4,매드 파더,2.7,3,false,talk_primary,,sample_1_peak_10_50
단송아,naverchzzk,9e90a323cc7d81012681dbcbad274ed9,710,2.6,11,7,19,443,10-15,talk,23.3,언젠가는 도착해,19.9,그림/아트,14.4,9,false,single_game_or_non_game,,sample_1_peak_10_50
주니 JuNi,naverchzzk,93b746e8ecabded6cdb4409a609beab1,711,2.6,11,7,19,94,10-15,리그 오브 레전드,86.8,PUBG: 배틀그라운드,6.8,전략적 팀 전투 : 우주의 신들,4.7,4,false,single_game_dominant,,sample_1_peak_10_50
미운,naverchzzk,cd492960a4f11816a0b011986be4fad8,712,4.3,10,4,19,12,10-15,종합 게임,98.9,리그 오브 레전드,1.1,,,2,true,gg_primary,,sample_1_peak_10_50
꼬리리꼬,naverchzzk,3c724f4c7d74dcbdd6b8804c356bb39a,716,2.7,11,7,19,128,10-15,종합 게임,86.9,PUBG: 배틀그라운드,10.7,마블 라이벌즈,1.2,4,true,gg_primary,,sample_1_peak_10_50
노는팥쥐,naverchzzk,1ee28c67a43b944603f02dc87b5b1931,718,2.4,12,8,19,120,10-15,그림/아트,76.0,종합 게임,24.0,,,2,true,gg_secondary,,sample_1_peak_10_50
잠꾸,naverchzzk,c61d9af7263c4d436e5a682c8da4d706,725,2.4,10,8,18,1220,10-15,talk,31.3,종합 게임,17.1,발로란트,15.3,11,true,multi_game,,sample_1_peak_10_50
록시 스윗랜드,naverchzzk,1309200594b756a46edaab8a8c7bdc21,726,1.3,16,14,18,2097,16-20,talk,47.8,음악/노래,17.3,승리의 여신: 니케,8.3,12,false,single_game_or_non_game,,sample_1_peak_10_50
쿠요 Qou,naverchzzk,33acc575f515150fceaef1fa4524114b,728,2.8,11,7,18,359,10-15,발로란트,51.5,talk,29.4,종합 게임,10.7,4,false,single_game_or_non_game,,sample_1_peak_10_50
사사에,naverchzzk,7340387668327f7da29f0b7308fa76f6,729,1.5,15,12,18,518,10-15,talk,66.2,종합 게임,9.6,음악/노래,8.9,10,false,talk_primary,,sample_1_peak_10_50
엘제뉴비,naverchzzk,310181f562cafae105ae73a1b54ecf39,731,2,13,9,18,1067,10-15,로스트아크,52.9,talk,17.7,왕좌의 게임: 킹스로드,15.4,9,true,multi_game,,sample_1_peak_10_50
동호형방송,naverchzzk,7f14cb1fbbf50fa62cce90321faf57e9,732,0.8,24,23,18,2999,21-30,카트라이더,73.7,PUBG: 배틀그라운드,21.9,종합 게임,2.2,5,true,multi_game,,sample_1_peak_10_50
야마모조,naverchzzk,179009932790836bff9b1dc19e696397,733,9.3,17,2,18,29,16-20,왕좌의 게임: 킹스로드,84.3,로스트아크,5.3,종합 게임,4.8,6,false,single_game_dominant,,sample_1_peak_10_50
아야린 Ayarin,naverchzzk,7a3b0817ebf0028cb47e12c0d5a07eef,735,1.7,12,11,18,338,10-15,talk,66.3,마인크래프트,22.5,음악/노래,4.0,6,false,talk_primary,,sample_1_peak_10_50
잡학다식,naverchzzk,69d34ec0999f2ef4dad07e429f0b7dd9,736,1.7,14,11,18,838,10-15,마블 퓨처파이트,93.3,종합 게임,3.4,마블 라이벌즈,3.4,3,false,single_game_dominant,,sample_1_peak_10_50
윤요 YoonYo,naverchzzk,fccc3de223cf5c5d7778efb9901b1a93,737,2.7,11,7,18,5884,10-15,PUBG: 배틀그라운드,49.0,마인크래프트,21.4,talk,12.3,9,true,multi_game,,sample_1_peak_10_50
베타 시스테인,naverchzzk,ae2e38949bb60c7e47d0c88c9cf270a8,739,0.8,33,22,18,347,31-40,talk,77.2,성세천하: 여제의 탄생 Ⅱ,10.8,명조:워더링 웨이브,9.6,5,false,talk_primary,,sample_1_peak_10_50
반해유,naverchzzk,ecd43744d4377e904f086503393459da,743,2.9,10,6,18,478,10-15,로스트아크,84.5,talk,7.9,종합 게임,3.2,7,false,single_game_dominant,,sample_1_peak_10_50
오달희,naverchzzk,4a34d69c8258052c1da1068ffcb471d2,745,1.7,13,10,17,458,10-15,데드 바이 데이라이트,17.2,talk,12.7,인투 더 데드: 아워 다키스트 데이즈,11.1,17,false,single_game_or_non_game,,sample_1_peak_10_50
리츠나루,naverchzzk,f358380ad1e1611e9025edec166439dc,747,0.7,30,25,17,658,21-30,Once Human,73.8,붉은사막,12.2,서브노티카 2,4.6,17,false,single_game_or_non_game,,sample_1_peak_10_50
사야 세리카,naverchzzk,4a372ebe1371e867cf160dcd4deeaf2c,750,0.4,47,43,17,1366,41-50,명조:워더링 웨이브,42.0,talk,23.9,이환,19.5,15,true,multi_game,,sample_1_peak_10_50
이호범,naverchzzk,47ab1f2678dec0287d366593cdfe881e,751,0.7,28,25,17,1058,21-30,talk,67.6,종합 게임,25.2,오버워치,4.4,4,false,talk_primary,,sample_1_peak_10_50
팬굴,naverchzzk,c980fa4fa9201bc47c89ac0ded3e0345,752,2.8,10,6,17,327,10-15,종합 게임,35.8,talk,33.9,마인크래프트,19.3,8,true,gg_primary,,sample_1_peak_10_50
나는 범이요,naverchzzk,0f6af517c66a6ce1f5049172eab608f8,762,1.7,13,10,17,714,10-15,talk,55.7,이터널 리턴,22.7,종합 게임,16.5,4,false,talk_primary,,sample_1_peak_10_50
백은하,naverchzzk,85eb67daa4822df8a31f1cdbd74c34da,765,1.2,17,14,17,2496,16-20,talk,50.7,이환,32.1,종합 게임,6.6,8,false,talk_primary,,sample_1_peak_10_50
개씨유,naverchzzk,cc64019fefa379cf48732a00420102b1,767,2.7,11,6,17,1012,10-15,그랜드체이스 클래식,66.7,종합 게임,4.8,테일즈런너,4.6,19,false,single_game_or_non_game,,sample_1_peak_10_50
두나리,naverchzzk,5aaebd33ed301dbcaa09ebcb515a59cb,771,1.7,13,10,17,413,10-15,FC온라인,30.6,명조:워더링 웨이브,23.1,이환,10.4,13,true,multi_game,,sample_1_peak_10_50
물랑임,naverchzzk,852e70e68d191be3e194ed3b625cb199,772,1.9,11,9,16,225,10-15,talk,21.8,성세천하: 여제의 탄생 Ⅱ,19.5,종합 게임,19.1,10,true,multi_game,,sample_1_peak_10_50
클로비야,naverchzzk,c45f38431306650d33361c601badd441,773,1,20,16,16,474,16-20,마비노기 모바일,64.5,P의 거짓,5.4,리그 오브 레전드,5.2,15,false,single_game_or_non_game,,sample_1_peak_10_50
진짜진진,naverchzzk,d81bf028fb03ae5998831b60c5bc9fd1,775,1,22,16,16,566,21-30,talk,65.5,명조:워더링 웨이브,18.8,이스케이프 더 백룸,6.2,6,false,talk_primary,,sample_1_peak_10_50
이나흘,naverchzzk,5fb0b40bc619e217c0445efb084e90c7,776,2,10,8,16,1130,10-15,PUBG: 배틀그라운드,54.0,전략적 팀 전투 : 우주의 신들,16.2,리그 오브 레전드,11.1,12,true,multi_game,,sample_1_peak_10_50
귤임,naverchzzk,0ba32dd6ef3da7bef60d8a49a98156e3,778,1.5,16,11,16,104,16-20,오버워치,68.0,talk,25.1,다크 소울 3,5.2,4,false,single_game_or_non_game,,sample_1_peak_10_50
카네인,naverchzzk,d0ea1db4982bfc23c7dde89d04c521dd,779,0.4,45,41,16,2586,41-50,전략적 팀 전투 : 우주의 신들,90.7,talk,5.0,종합 게임,1.9,6,false,single_game_dominant,,sample_1_peak_10_50
김이딴,naverchzzk,1e2555cbdf56ff1add40e5c9a5b59851,786,1.5,12,11,16,486,10-15,음악/노래,39.3,talk,25.9,PUBG: 배틀그라운드,21.0,7,true,multi_game,,sample_1_peak_10_50
키블라,naverchzzk,3793eb7c46b59693dea0b835956a8513,787,1.6,12,10,16,295,10-15,종합 게임,37.5,리그 오브 레전드,30.1,마비노기 모바일,21.6,4,true,gg_primary,,sample_1_peak_10_50
깟불,naverchzzk,8777e93c041da7b9f1152fd1e903c90b,795,2.3,14,7,16,1369,10-15,에픽세븐,89.5,talk,4.4,종합 게임,1.5,7,false,single_game_dominant,,sample_1_peak_10_50
unknown,naverchzzk,4b1de0a13ad02355c2813c1386ffa646,799,2.4,14,6,15,180,10-15,종합 게임,42.1,talk,37.0,음악/노래,12.7,5,true,gg_primary,,sample_1_peak_10_50
꽃게대장,naverchzzk,43e3c57feed0478ff9812109a40f9fe8,801,2.5,10,6,15,1187,10-15,마인크래프트,44.8,talk,27.7,PUBG: 배틀그라운드,14.3,7,false,single_game_or_non_game,,sample_1_peak_10_50
비로소 BROSO,naverchzzk,f002947016149ca64d36ad4a9eb3aef8,803,2.2,10,7,15,758,10-15,데스 스트랜딩 2: 온 더 비치,34.8,talk,33.8,친구모아 아일랜드 두근두근 라이프,8.6,8,false,single_game_or_non_game,,sample_1_peak_10_50
곰다람쥐,naverchzzk,6833c245297f782437805f185a24ac85,805,1.7,12,9,15,747,10-15,007 퍼스트 라이트,23.1,포르자 호라이즌 6,14.9,서브노티카 2,11.9,11,false,single_game_or_non_game,,sample_1_peak_10_50
호시아메,naverchzzk,ad7534d94d264703c0af8cd33e9dd5fa,806,1.6,12,9,15,653,10-15,talk,66.2,그림/아트,27.7,종합 게임,5.5,4,false,talk_primary,,sample_1_peak_10_50
루가루가룽,naverchzzk,3750ddc158e88d8971bb19a3581c0028,807,1.4,13,11,15,451,10-15,리그 오브 레전드,40.4,팰월드,35.7,PUBG: 배틀그라운드,8.6,7,true,multi_game,,sample_1_peak_10_50
푸름별,naverchzzk,94eac6fe5c79969435a564108cb9ad14,809,1.8,11,8,15,3285,10-15,이환,34.4,발로란트,14.5,명조:워더링 웨이브,14.4,12,false,single_game_or_non_game,,sample_1_peak_10_50
퐁수,naverchzzk,e4088a77e922643e2a1794850305d2c6,812,1.1,19,14,15,670,16-20,데드 바이 데이라이트,48.0,이스케이프 더 백룸,43.8,종합 게임,8.2,3,true,multi_game,,sample_1_peak_10_50
타리v,naverchzzk,c9e99d7384961f06f26a12165a85a522,815,1,17,15,15,786,16-20,talk,72.4,마인크래프트,20.5,종합 게임,7.1,3,false,talk_primary,,sample_1_peak_10_50
이웃집펭긴,naverchzzk,c1fff7c09364995853a887468cace330,818,1.2,17,12,15,666,16-20,로스트아크,74.2,철권 8,15.5,마인크래프트,5.6,8,true,multi_game,,sample_1_peak_10_50
감미녀,naverchzzk,8dd5492b082069793dba0ab30f580fc8,821,1.6,12,9,15,610,10-15,음악/노래,50.0,종합 게임,21.8,talk,20.8,5,true,multi_game,,sample_1_peak_10_50
딩딩e,naverchzzk,dc98d46f115a4922d438204afd824642,825,1.1,15,13,14,145,10-15,이환,74.9,종합 게임,9.5,하스스톤,4.2,9,false,single_game_or_non_game,,sample_1_peak_10_50
닌자의길,naverchzzk,9a0161b470a681fb2922fcee6b7637e3,831,2,15,7,14,360,10-15,사이퍼즈,30.1,철권 8,20.6,마비노기 모바일,20.4,8,true,multi_game,,sample_1_peak_10_50
무 진,naverchzzk,5ed3eb41cadbd8cdb053a96cf4b200fb,833,2.1,12,7,14,863,10-15,talk,41.7,007 퍼스트 라이트,19.8,붉은사막,13.1,9,false,single_game_or_non_game,,sample_1_peak_10_50
마쉬멜로기록보관소,naverchzzk,60494e4774ed0bbac45f47cfcbbcd8be,846,1.7,10,8,14,2291,10-15,로스트아크,75.2,마인크래프트,9.3,종합 게임,5.6,8,false,single_game_or_non_game,,sample_1_peak_10_50
Vulpera,naverchzzk,3979fdba8be365f53a3ea57a41df4b79,857,0.5,28,27,13,3098,21-30,talk,39.7,스타크래프트 : 리마스터,18.2,007 퍼스트 라이트,11.1,13,false,single_game_or_non_game,,sample_1_peak_10_50
소코로,naverchzzk,d319cb8491dfd75979d47ca1b19fc083,862,1.4,14,9,13,1230,10-15,talk,51.4,R.E.P.O.,7.2,시크릿 커리큘럼,6.8,13,false,talk_primary,,sample_1_peak_10_50
귀여워쟝,naverchzzk,6997b304782479cc2d3f2afa024bc7e2,866,1.2,12,11,13,790,10-15,오버워치,96.4,종합 게임,3.6,,,2,false,single_game_dominant,,sample_1_peak_10_50
퍼인우,naverchzzk,e2ad4ff3044d7872279e1cdf09230094,867,1.7,12,8,13,589,10-15,Once Human,27.9,이환,26.9,종합 게임,22.8,11,true,multi_game,,sample_1_peak_10_50
로그09,naverchzzk,d535a1226df778a3a75fdf6f60800afd,873,1.4,12,9,13,157,10-15,로스트아크,99.3,종합 게임,0.7,,,2,false,single_game_dominant,,sample_1_peak_10_50
양별,naverchzzk,aa6fd11803339726bad71855f8c8aee9,874,0.9,18,14,13,1179,16-20,로스트아크,86.8,이터널 리턴,6.1,리그 오브 레전드,2.0,10,false,single_game_dominant,,sample_1_peak_10_50
햄부기쟝,naverchzzk,2fb827ed0157b15e28d1c5f50df5a8c8,878,1.5,11,9,13,598,10-15,서브노티카 2,23.7,포장마차 : 한국 길거리 음식 경영시뮬레이터,15.9,종합 게임,11.7,11,true,multi_game,,sample_1_peak_10_50
포르킨,naverchzzk,8131c92832957e2d83287c90af8e6932,879,0.8,18,16,13,1742,16-20,명일방주,16.1,종합 게임,16.1,talk,15.7,15,true,multi_game,,sample_1_peak_10_50
누룽지차,naverchzzk,830d3552c7d6acea5b77cb688e58ba68,880,0.5,28,25,13,531,21-30,디제이맥스 리스펙트 V,36.5,리그 오브 레전드,30.0,바이오하자드 RE:2,10.0,16,true,multi_game,,sample_1_peak_10_50
낚마임,naverchzzk,262c2a0ee76b9fb7b48a12e5674ae04e,886,1.4,13,9,13,221,10-15,엘든 링,76.1,서브노티카 2,7.5,talk,5.0,13,false,single_game_or_non_game,,sample_1_peak_10_50
unknown,naverchzzk,44293d748d1b9a264823b0abce615f76,899,2.5,10,5,12,2190,10-15,철권 8,91.6,마인크래프트,3.4,종합 게임,1.8,7,false,single_game_dominant,,sample_1_peak_10_50
강하여,naverchzzk,03bf220d9788b834ac7671385e2934a4,908,1.7,10,7,12,840,10-15,talk,33.4,명일방주: 엔드필드,32.3,림버스 컴퍼니,22.0,8,true,multi_game,,sample_1_peak_10_50
박민서리,naverchzzk,0d541377f947c7439f414e0b5179b140,910,0.8,16,15,12,347,16-20,talk,90.4,PUBG: 배틀그라운드,6.8,종합 게임,1.5,6,false,talk_primary,,sample_1_peak_10_50
유마짱,naverchzzk,35f84e0a1db5855e48b4c44403c2735c,912,2.2,10,5,12,552,10-15,talk,52.7,마인크래프트,18.7,몬스터 헌터: 월드,10.7,10,false,talk_primary,,sample_1_peak_10_50
민네,naverchzzk,dd3f969930648997b95c222776e38172,914,0.4,34,29,12,10715,31-40,talk,39.4,ASMR,20.0,루인드 너스,6.6,13,false,single_game_or_non_game,,sample_1_peak_10_50
오잉S2,naverchzzk,331dde398f0b0ba76382d1fc66bc925e,920,1.5,11,8,11,176,10-15,talk,56.7,종합 게임,16.3,음악/노래,13.9,8,false,talk_primary,,sample_1_peak_10_50
추 추,naverchzzk,ef54939e06aecdb3442306464f741426,925,1.7,10,7,11,422,10-15,talk,63.6,종합 게임,12.7,아이온2,11.2,8,false,talk_primary,,sample_1_peak_10_50
리듬이유튜브,naverchzzk,93282fa44e0f5e3ae03f17591583169b,928,1.5,10,8,11,376,10-15,디제이맥스 리스펙트 V,77.4,이지투온 리부트: R,4.4,블루 아카이브,2.7,13,false,single_game_or_non_game,,sample_1_peak_10_50
이웃집 솜솜,naverchzzk,2866d53b3eef6917ff1aed7533e61f31,934,1.3,12,9,11,29,10-15,talk,92.1,종합 게임,4.6,언패킹,3.3,3,false,talk_primary,,sample_1_peak_10_50
답지,naverchzzk,eba2a7b99318378a98c5f7c380b0ae5d,936,1.8,10,6,11,700,10-15,talk,47.5,파스모포비아,26.3,PUBG: 배틀그라운드,6.9,9,false,single_game_or_non_game,,sample_1_peak_10_50
힌이0103,naverchzzk,d0092fe47ef420f73a8d851166256a38,942,1.2,12,9,11,105,10-15,발로란트,36.8,talk,28.5,오버워치,14.8,12,false,single_game_or_non_game,,sample_1_peak_10_50
퀸유랑,naverchzzk,d20ec8d214348b4360dfcc7c8ad23a8f,945,0.8,18,14,11,2676,16-20,talk,72.3,카운터 스트라이크 2,7.5,오버워치,7.1,8,false,talk_primary,,sample_1_peak_10_50
앙수0su,naverchzzk,95db70a18862fb00b210e5e8c02cac5e,950,0.4,32,27,11,359,31-40,이터널 리턴,90.2,종합 게임,4.8,두근두근타운,4.5,4,false,single_game_dominant,,sample_1_peak_10_50
범식 sick tiger,naverchzzk,04cc2c37e1c3cbf7e163129c86931ae2,951,1.9,10,6,11,297,10-15,오버워치,77.7,talk,9.2,에브리씽 이즈 크랩: 동물 진화 로그라이트,3.4,9,false,single_game_or_non_game,,sample_1_peak_10_50
이 다올,naverchzzk,fac8bc3bb9b211649012e5b0ba3478bb,953,1,12,11,11,328,10-15,talk,89.4,종합 게임,5.3,서브노티카,5.3,3,false,talk_primary,,sample_1_peak_10_50
냥스루,naverchzzk,37bb845b6709ba25a36ec04f100a29e7,955,1.1,11,10,11,100,10-15,talk,91.5,디콜레이트 데코레이션,4.4,음악/노래,2.6,4,false,talk_primary,,sample_1_peak_10_50
곰학,naverchzzk,29ade613ebee5f2593f6352e13e40154,962,0.6,21,17,10,1459,21-30,원신,83.0,이환,13.4,2026 FIFA 북중미 월드컵,3.5,4,false,single_game_dominant,,sample_1_peak_10_50
o뱁새랑o,naverchzzk,1761e3c1478391dfe94cdce450d6fa03,970,1.1,13,9,10,355,10-15,talk,97.3,마인크래프트,2.2,종합 게임,0.5,3,false,talk_primary,,sample_1_peak_10_50
시안쨔마,naverchzzk,7ed5d5815896cf7122904b47e3187d84,974,1,12,10,10,941,10-15,talk,64.7,종합 게임,19.7,Grand Theft Auto V,10.7,6,false,talk_primary,,sample_1_peak_10_50
김마메,naverchzzk,cd94f8f4b13e8c195e551bc9f42b2646,986,0.7,20,14,10,1493,16-20,종합 게임,83.2,33 이모탈스,8.3,엠버 나이트,3.5,6,true,gg_primary,,sample_1_peak_10_50
폰루루 ㅣ PON RuRu,naverchzzk,051a3090c9566bdfd6af01cb1f463c16,987,0.4,40,24,10,3021,31-40,talk,63.2,매디슨,14.4,서브노티카 2,9.3,7,false,talk_primary,,sample_1_peak_10_50
리모 RIMO,naverchzzk,4a0493dd6f3542b99943c39848ad1045,988,0.8,14,12,10,3032,10-15,음악/노래,65.1,talk,23.5,성세천하: 여제의 탄생 Ⅱ,6.4,7,false,single_game_or_non_game,,sample_1_peak_10_50
하로1181,naverchzzk,e5d166b4b3fd5c0572867b507ed93a8f,990,0.8,20,12,10,615,16-20,돈 스타브 투게더,85.7,종합 게임,5.6,배터리노트,3.7,5,false,single_game_dominant,,sample_1_peak_10_50
그렐 GREL,naverchzzk,1a18db778111594ca2967f9307ef5b25,991,1.1,12,9,10,1069,10-15,마인크래프트,34.9,음악/노래,27.0,발로란트,9.9,10,true,multi_game,,sample_1_peak_10_50
서챤,naverchzzk,91f8de75d9d993c236b6be83b1857689,994,1.2,11,8,10,313,10-15,원신,41.9,로스트아크,25.6,talk,22.2,6,true,multi_game,,sample_1_peak_10_50
임수영,naverchzzk,096d333c07d10915cd65862affa7d9ef,1004,0.3,34,31,9,810,31-40,던전앤파이터,68.4,이환,13.4,명조:워더링 웨이브,7.3,8,false,single_game_or_non_game,,sample_1_peak_10_50
하모시달,naverchzzk,7867d6ae0b65fd2db0158d030d320404,1013,0.9,12,10,9,767,10-15,마비노기 영웅전,64.6,명조:워더링 웨이브,12.2,데드 아일랜드 2,7.8,10,false,single_game_or_non_game,,sample_1_peak_10_50
야쌤,naverchzzk,c4e7acdbed24d3643d88218c6ec66f00,1018,1.2,11,8,9,453,10-15,종합 게임,68.3,서브노티카 2,31.7,,,2,true,gg_primary,,sample_1_peak_10_50
MMir 망밀,naverchzzk,a224d921895c2271e61922cdf141b722,1019,1,10,9,9,296,10-15,두근두근타운,76.0,헬다이버즈 2,17.9,종합 게임,3.5,7,true,multi_game,,sample_1_peak_10_50
귤탱이몽,naverchzzk,8d5ed2dcfde122205a547a5dc6f0671d,1026,0.7,14,13,9,943,10-15,에이펙스 레전드,24.4,붉은사막,17.2,헬다이버즈 2,12.8,17,true,multi_game,,sample_1_peak_10_50
배꽃송이,naverchzzk,c3f273ae00265f7371aa1995d7805f48,1035,0.9,12,10,9,170,10-15,talk,39.7,발로란트,23.4,두근두근타운,14.0,16,false,single_game_or_non_game,,sample_1_peak_10_50
낙원 exe,naverchzzk,dd586db451c8c0e1723f5293dd4afc77,1038,0.9,12,10,9,453,10-15,talk,49.2,마인크래프트,40.8,VR챗,4.0,8,false,single_game_or_non_game,,sample_1_peak_10_50
246 이사육,naverchzzk,bafe147dd43514c312fac24e64935cf2,1046,1.1,10,8,8,368,10-15,리그 오브 레전드,63.7,스타크래프트 : 리마스터,12.8,PUBG: 배틀그라운드,8.4,13,false,single_game_or_non_game,,sample_1_peak_10_50
진 댕,naverchzzk,a21428140e156d43e0acd3959b6ba70f,1049,0.8,11,10,8,216,10-15,talk,91.1,오베이 더 보이스,2.6,이스케이프 더 백룸,2.2,7,false,talk_primary,,sample_1_peak_10_50
작은달,naverchzzk,140e22e5bc2ee023dcceaa231a0f61e9,1053,0.9,10,9,8,282,10-15,이터널 리턴,39.8,이스케이프 프롬 타르코프,16.0,서브노티카 2,9.1,21,true,multi_game,,sample_1_peak_10_50
김 도디,naverchzzk,6c36d176628dfb9787342423be202ed3,1054,0.6,15,14,8,430,10-15,talk,45.2,엘든 링,16.7,종합 게임,10.8,8,false,single_game_or_non_game,,sample_1_peak_10_50
하성진,naverchzzk,ae1125535af7912a92dee6e15a896f29,1074,0.8,11,10,8,375,10-15,이터널 리턴,77.8,메이플스토리 월드,8.4,마인크래프트,5.9,8,false,single_game_or_non_game,,sample_1_peak_10_50
말구9,naverchzzk,498171cef4c29e76b39c27a197be03f7,1088,0.9,10,8,8,228,10-15,메이플스토리,34.0,리그 오브 레전드,33.3,talk,18.8,5,true,multi_game,,sample_1_peak_10_50
unknown,naverchzzk,37d4ff6bb18c1f5891afc141b52c1d2f,1099,0.8,11,9,7,225,10-15,리그 오브 레전드,65.4,talk,24.2,하숙생이 전부 미녀입니다만? 시즌2,4.7,6,false,single_game_or_non_game,,sample_1_peak_10_50
다니DANI,naverchzzk,79f9e243ae642bffacf38bf1e7d5e1fd,1104,0.9,10,8,7,211,10-15,활협전,35.7,talk,24.8,D1AL-ogue,8.4,13,false,single_game_or_non_game,,sample_1_peak_10_50
Anotherkyo,naverchzzk,311c2a9ef8537f267eea9963c81d7532,1109,0.8,10,9,7,257,10-15,랑그릿사,74.5,카오스 제로 나이트메어,6.8,파이어 엠블렘 풍화설월,5.6,10,false,single_game_or_non_game,,sample_1_peak_10_50
키쭈 CISMIA,naverchzzk,acd91583f35aeecfda1f624baaa05a4a,1113,0.9,10,8,7,651,10-15,승리의 여신: 니케,22.5,음악/노래,19.8,이환,16.5,8,true,multi_game,,sample_1_peak_10_50
용구슬이,naverchzzk,c83de84df9cac08c6ae6dd5c5f1ac5b7,1129,0.8,12,8,7,326,10-15,talk,84.6,마인크래프트,6.1,스타크래프트 : 리마스터,2.6,10,false,talk_primary,,sample_1_peak_10_50
초메론,naverchzzk,f38e91db7f6fe3bae0e32b751b5874e7,1134,0.7,11,9,7,113,10-15,talk,22.2,종합 게임,22.0,음악/노래,18.7,7,true,multi_game,,sample_1_peak_10_50
윤모명,naverchzzk,47d03d30f0f344b6797f4620b1ae68ec,1152,0.8,10,8,6,395,10-15,talk,59.6,종합 게임,21.1,블루 아카이브,8.2,7,false,talk_primary,,sample_1_peak_10_50
킴파드,naverchzzk,323320490bc502419d509bc32678f385,1158,0.2,35,31,6,4013,31-40,talk,96.1,리그 오브 레전드,3.8,종합 게임,0.1,3,false,talk_primary,,sample_1_peak_10_50
안찡,naverchzzk,c935bfe5ce48cc463db905131c08fb0d,1159,0.7,10,9,6,901,10-15,Once Human,25.3,발로란트,19.0,오버워치,15.0,10,true,multi_game,,sample_1_peak_10_50
주거니 GUNNY,naverchzzk,a8e93f52d4791e8d2e9a57218e98d262,1167,0.5,13,12,6,385,10-15,talk,68.1,수저린,12.9,오버워치,10.9,6,false,talk_primary,,sample_1_peak_10_50
배고판,naverchzzk,6774730c6448ba261ac72f3cda1d7b3b,1188,0.2,30,29,6,6044,21-30,talk,92.4,PUBG: 배틀그라운드,5.1,종합 게임,1.1,5,false,talk_primary,,sample_1_peak_10_50
유희 YUHEE,naverchzzk,c84a64182c888aea021aa689a75f9d1e,1197,0.3,20,19,6,500,16-20,로스트아크,31.9,마인크래프트,28.8,talk,9.8,12,true,multi_game,,sample_1_peak_10_50
달은월,naverchzzk,d8f9cfab91b27abb7b3f7f2c1a186e29,1215,0.3,19,18,5,2032,16-20,음악/노래,38.9,talk,34.3,엘든 링,16.1,10,true,multi_game,,sample_1_peak_10_50
아이텔 시즈 Aitel Siz,naverchzzk,2629ef26d6abd8cf1fa7d52e83ba3542,1217,0.6,13,9,5,1970,10-15,마인크래프트,46.4,talk,35.5,이터널 리턴,7.8,5,false,single_game_or_non_game,,sample_1_peak_10_50
모노 맥거핀,naverchzzk,aa4e4434b4b9ca335011a8c61b9531d3,1235,0.4,14,13,5,755,10-15,talk,48.3,음악/노래,17.0,아쿠아리움은 춤추지 않아,10.9,9,false,single_game_or_non_game,,sample_1_peak_10_50
산호Blue,naverchzzk,adeaafc6b493e9869bd34a0a3dc3dc33,1237,0.5,12,10,5,200,10-15,포켓로그,54.4,그림/아트,13.2,talk,12.6,7,false,single_game_or_non_game,,sample_1_peak_10_50
네쿠 necu,naverchzzk,ffbe327e81274c81bd6f8007c863f996,1244,1.6,10,3,5,536,10-15,오버워치,89.5,마인크래프트,3.7,PUBG: 배틀그라운드,2.4,11,false,single_game_dominant,,sample_1_peak_10_50
하늘뇽,naverchzzk,01239a69c5df36278eb37707ed629d54,1254,0.3,17,16,5,2343,16-20,로스트아크,79.7,talk,9.7,오버워치,3.3,8,false,single_game_or_non_game,,sample_1_peak_10_50
유딩채널,naverchzzk,fd1ba01789a218cf3500bdcf1d0d55bb,1259,0.2,25,24,5,6172,21-30,메이플스토리,32.6,마인크래프트,30.8,PUBG: 배틀그라운드,18.9,12,true,multi_game,,sample_1_peak_10_50
전선비,naverchzzk,93a0b78b40bee56629ec4bee904aa0f1,1264,0.5,11,9,5,1510,10-15,하스스톤,77.3,이터널 리턴,6.1,리그 오브 레전드,5.1,7,false,single_game_or_non_game,,sample_1_peak_10_50
볼펜맨,naverchzzk,d7797e0cef83ce47fb1df50901e8c433,1275,0.4,12,11,5,770,10-15,talk,35.7,PUBG: 배틀그라운드,29.8,스톰 스트라이커,21.0,9,true,multi_game,,sample_1_peak_10_50
