name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
짱짱걸안나,naverchzzk,8bf37f7164e814a1881b40f4f6305175,158,9.5,26,18,168,887,21-30,로스트아크,57.0,talk,21.7,마법소녀의 마녀재판,7.4,8,false,single_game_or_non_game,,sample_1_peak_10_50
쁘눙공작,naverchzzk,ee127dbe96d87d8056348dca8798ddd5,160,10.9,21,15,166,379,21-30,종합 게임,77.6,007 퍼스트 라이트,17.7,리밋 제로 브레이커스,4.6,4,true,gg_primary,,sample_1_peak_10_50
케이나파르페,naverchzzk,9becba80e75bd5a7ba73ef7de32d578e,163,11.6,22,14,164,251,21-30,종합 게임,48.3,명조:워더링 웨이브,22.5,데이 아 빌리언즈,11.3,7,true,gg_primary,,sample_1_peak_10_50
이 렌 이 렌,naverchzzk,99af4ec0174c5b79321090b0458d3006,164,8.1,31,20,163,2209,31-40,talk,48.2,림버스 컴퍼니,23.7,종합 게임,20.5,4,true,multi_game,,sample_1_peak_10_50
무스타디오,naverchzzk,bfb0e2a105ae46284e0b9e5764248457,165,14.1,18,11,160,276,16-20,이스케이프 프롬 타르코프,50.8,종합 게임,41.5,talk,7.8,3,true,multi_game,,sample_1_peak_10_50
M Lizard,naverchzzk,13d07bd1465f85b902e872da4cf9fb72,166,6.9,40,23,160,1200,31-40,포르자 호라이즌 6,50.0,스트리트 파이터 6,13.7,종합 게임,11.1,9,false,single_game_or_non_game,,sample_1_peak_10_50
히레 hire,naverchzzk,0be8dc1c87bc63e51380f779123df6aa,167,6.2,30,26,159,3025,21-30,talk,50.3,오버워치,24.6,종합 게임,10.2,9,false,talk_primary,,sample_1_peak_10_50
밤비타,naverchzzk,c3c8991d780ba0fe7bb7b39d2af4d4c1,168,41.6,10,4,154,825,10-15,PUBG: 배틀그라운드,27.4,talk,18.1,Grand Theft Auto V,16.0,14,true,multi_game,,sample_1_peak_10_50
딸기 DDALGI,naverchzzk,ddba126063cfa770d867aebfe37c318d,169,4,49,38,153,2511,41-50,이터널 리턴,78.8,talk,13.8,음악/노래,2.4,7,false,single_game_or_non_game,,sample_1_peak_10_50
훈톨이,naverchzzk,64905798b146c86c255f7d7fff5e9238,171,20.9,12,7,152,382,10-15,오버워치,66.0,종합 게임,20.6,talk,8.7,8,true,multi_game,,sample_1_peak_10_50
느에누리,naverchzzk,55afeade4c2e1a3107d87f48056b1a00,172,6.9,30,22,151,13737,21-30,talk,38.1,PUBG: 배틀그라운드,18.1,마인크래프트,12.8,15,false,single_game_or_non_game,,sample_1_peak_10_50
검은바람 게임채널,naverchzzk,4fe4afb376bb35114d50b3fd80b9fc5c,173,24,13,6,149,363,10-15,더 킹 오브 파이터즈 '98,48.0,종합 게임,38.5,히어로즈 오브 마이트 앤 매직: 올든 에라,9.5,4,true,multi_game,,sample_1_peak_10_50
HERA 헤라,naverchzzk,b14e49789bae3c00b6b4c98d60ff036d,174,5.7,30,26,149,11922,21-30,talk,33.2,역전재판 123 나루호도 셀렉션,24.2,명조:워더링 웨이브,17.2,9,true,multi_game,,sample_1_peak_10_50
복대장,naverchzzk,40ee04c68dd2699cfebb81f79a2571a5,176,25.6,11,6,148,43,10-15,종합 게임,79.1,talk,16.7,PUBG: 배틀그라운드,4.2,3,true,gg_primary,,sample_1_peak_10_50
쑈비뇽,naverchzzk,eb064c26cd6f84311b664be23f047ccb,177,12.9,15,11,146,862,10-15,종합 게임,97.9,프래그마타,2.1,,,2,true,gg_primary,,sample_1_peak_10_50
진코브라,naverchzzk,63d9a00e499979eb701c115cf7aa5e78,178,11.7,17,12,145,46,16-20,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
아하 AHA,naverchzzk,c61969606c0a253f4bd4580d0082b788,181,8.9,24,16,143,399,21-30,종합 게임,27.1,talk,20.8,미제사건은 끝내야 하니까,8.4,16,true,gg_primary,,sample_1_peak_10_50
이 비,naverchzzk,64faa1ea61160e795e45314cc12960c5,183,4.5,41,32,142,2422,41-50,프로젝트 좀보이드,22.8,에코,21.2,서브노티카 2,20.3,11,true,multi_game,,sample_1_peak_10_50
윤알티,naverchzzk,7753ae8bcf4995cb752658919aee0e59,185,33.7,10,4,140,540,10-15,종합 게임,97.6,테트리스,1.7,명조:워더링 웨이브,0.3,4,true,gg_primary,,sample_1_peak_10_50
도다린,naverchzzk,fb2d6d9dcf892d06999102cc2fab670a,186,4.7,36,30,139,852,31-40,talk,46.3,종합 게임,26.7,마인크래프트,17.4,5,true,multi_game,,sample_1_peak_10_50
