content_id,sub_domain,lang,body_tokens,channel,sounding
2f716299ea5eba3d,미분류,mixed,108,1,1
2f7c458f0be9ec63,이미지 생성,en,30,1,1
2f84ec5709364b75,미분류,en,47,3,1
2f94032946de9bec,단순 질문,en,16,1,1
2fbf49883aa18420,미분류,ko,92,1,1
2fca5fbf24838b64,정리/포맷팅,mixed,51,2,3
2fce5e7741392a37,이미지 생성,en,43,1,1
2fdca686f917366d,미분류,ko,77,1,2
30008cb0abc36e3d,교육/학습,ko,146,1,2
302030c9dbacf997,이미지 생성,en,44,1,1
3037785cff4dbe7c,이미지 생성,mixed,180,1,1
3045f79abc14257d,미분류,mixed,115,1,1
3075f3e9c80ce0f1,미분류,ko,294,1,2
30a331db02552454,미분류,ko,24,1,1
30abd04e80a6955e,미분류,ko,43,1,1
310dfa07a1f6bd14,정리/포맷팅,ko,58,1,1
31273580258bb8dc,이미지 생성,en,57,1,1
31393b47f556cbd9,번역/언어,ko,72,1,1
3147c2cc57c269b2,정리/포맷팅,ko,112,1,2
315adc4dffb6a01f,미분류,ko,45,1,1
31d7bb8c863b67a6,미분류,mixed,265,1,1
31d975b5cec83a32,미분류,mixed,20,1,1
323e2e0354675a18,미분류,ko,122,1,1
32709c7f1af6f873,미분류,en,11,1,1
3274a23d117a0d3c,정리/포맷팅,ko,38,1,1
32782206868fc26b,정리/포맷팅,ko,89,3,1
328712d55cd4df7f,미분류,en,79,1,1
3299c0bb842eae60,미분류,ko,29,2,1
329b55f2b92ebea2,이미지 생성,ko,29,1,1
32c07a1cb2f5d94b,이미지 생성,en,30,1,1
32c939363285cf4c,정리/포맷팅,ko,52,1,1
334df8b91c325dac,정리/포맷팅,mixed,34,1,2
334ec084e3c2482f,이미지 생성,mixed,210,1,1
3350b1c03a5e9b24,이미지 생성,en,55,1,1
335521f6de677fd3,미분류,en,10,1,1
336d13c9bff531d2,미분류,en,23,1,1
339e37d2ebfba8ad,심리/상담/관계,ko,97,1,1
33d4cd7e7841b988,미분류,mixed,18,1,1
33dc4fd0de53b5e3,미분류,en,19,1,1
33e78ee4147d3046,이미지 생성,en,65,1,4
340229eb352c6597,게임/세계관,en,18,1,1
34376b65245b874e,미분류,ko,29,1,1
3438d3c731961797,미분류,ko,34,1,1
3461b180a5a249fa,이미지 생성,en,21,1,1
34990533de6caca2,정리/포맷팅,ko,75,1,2
349f0a6c6c177ddb,미분류,ko,15,1,1
34d6d76711590391,미분류,ko,30,1,1
34e81c06dcfe4cbc,정리/포맷팅,mixed,32,1,1
355103f4ae1bccad,단순 질문,ko,17,1,1
35596abaf20ecfd6,미분류,en,30,3,1
35652b4c96cde170,미분류,en,61,1,1
3584de7eacf77602,미분류,ko,31,1,1
35a4091978b0d838,이미지 생성,en,56,1,4
35da209d80995dba,단순 질문,en,12,1,1
35fc7c47cb276477,게임/세계관,mixed,37,1,1
36092c95ea45e217,이미지 생성,en,66,1,1
36291c034425750d,심리/상담/관계,ko,57,1,1
365ac77603c21470,단순 질문,en,10,1,1
3661278744290ed1,미분류,mixed,40,1,1
369820b91ab7de10,미분류,ko,132,3,2
36b09ca26014845b,미분류,en,38,1,1
36b376a973e27eb8,이미지 생성,en,106,1,1
36d679fe31c2204e,이미지 생성,mixed,130,1,1
371750631c66b194,이미지 생성,en,29,1,1
371a81306b9760c4,미분류,en,89,1,1
37243750737fa2b9,정리/포맷팅,ko,40,1,2
3778a5cbc5a5a6f3,미분류,en,25,1,1
37ffa5f7a8088541,이미지 생성,en,190,1,1
381ecb2431faf356,미분류,en,35,1,1
388d61c782a8c334,여행/문화/추천,ko,65,1,1
38c81301fdbfa22a,정리/포맷팅,ko,29,1,1
38e176b95fba464c,게임/세계관,en,34,1,1
39141239d9f8c646,미분류,ko,45,1,1
391b151baaa55985,여행/문화/추천,ko,38,1,2
3958fb1ea2f85ad2,미분류,ko,131,1,1
399e31faeb465e2b,심리/상담/관계,ko,52,1,1
39ae1e77d18b3092,이미지 생성,en,96,1,1
39b4ee9bef5d7d3e,정리/포맷팅,ko,88,1,1
3a07a140e3262b7a,정리/포맷팅,ko,254,1,2
3a2fd166b93d7f3a,미분류,mixed,27,1,1
3a573d55f4b15bbf,미분류,en,174,1,1
3aa46cb08b6ccef7,정리/포맷팅,mixed,39,2,3
3ad311cc5f1f821a,미분류,en,23,1,1
3ae0472841608c20,여행/문화/추천,ko,107,1,1
3ae74bf11add5b11,미분류,ko,74,1,1
3afb70c66231e3a0,정리/포맷팅,ko,80,1,2
3b7729a51b391552,단순 질문,ko,71,1,1
3b8cbffcba6cb1d6,미분류,ko,41,1,1
3b92171e588230d2,미분류,mixed,23,1,1
3b9fc5f6953a077c,이미지 생성,en,10,1,1
3ba15f0d21488f47,이미지 생성,ko,202,1,1
3bb81afb278ee591,미분류,ko,28,1,1
3bc46568e5df872a,단순 질문,ko,183,1,1
3bd94a41211bf730,마케팅/광고,mixed,149,1,1
3c045357f65ed274,이미지 생성,en,70,1,1
3c31201a292de7bb,미분류,ko,42,1,1
3c371f2637a17ce0,이미지 생성,en,241,1,1
3d08979f625e11ec,미분류,mixed,13,1,1
3d4659317f8e7e6b,이미지 생성,en,23,1,1
3d470e3506c8f6a9,이미지 생성,en,56,1,1
3d578c0982df0592,마케팅/광고,ko,124,1,2
3d8e92f4bf9fbf53,단순 질문,ko,66,1,1
3da01f24cf6f5cd7,미분류,en,466,3,1
3db9db747228e589,미분류,ko,35,1,1
3dbcab51c49650dc,미분류,ko,188,1,1
3dd83e2e10a121cf,미분류,ko,88,1,1
3de4a12876874675,미분류,ko,61,1,1
3de8faffb8acede6,이미지 생성,en,81,1,1
3e00f78a785adf37,미분류,en,12,1,1
3e50de67b7b66313,교육/학습,ko,42,1,1
3e72196bb158b309,미분류,en,58,1,4
3e83d4fd464c7901,미분류,en,60,1,1
3e8fbf57b6b134a6,미분류,en,11,1,1
3eb085af208d7ce9,미분류,ko,57,1,3
3ebecc9d3f5c7442,여행/문화/추천,en,123,1,1
3ee090d625c1b2a7,미분류,ko,23,1,1
3f0fc88aedb1f5af,기획/전략/사업,ko,58,1,1
3f1afaff1d528411,기획/전략/사업,mixed,486,1,3
3f22dbfd74fde6ec,미분류,ko,17,1,1
3f2a9abcbf11b254,정리/포맷팅,ko,54,1,3
3f358e73c4e1c988,이미지 생성,en,41,1,1
3f78b92bae3e92f2,미분류,en,11,1,1
3f9b09c8e8b344cb,게임/세계관,en,169,3,2
3fadade7feafc55b,정리/포맷팅,ko,50,1,2
3fb7d082c737a04b,미분류,ko,17,1,1
3fc91ace0c043f62,단순 질문,ko,16,1,1
3fed9f5bb26184a3,미분류,en,67,1,4
3fff04b69d5a3522,정리/포맷팅,ko,40,1,2
4021cfcc93e90d8b,이미지 생성,en,39,1,1
4034dbf98d5295a3,미분류,ko,29,1,1
40460e2bd6650195,정리/포맷팅,ko,48,1,1
404deb0281696951,정리/포맷팅,ko,33,1,1
